company_name,website,technology,country,founded,description,source_repo,source_file,source_downloaded_at
Uhnder,uhnder.com,SENSORS,US,2015,Digital automotive radar SoC,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Ventana Micro,ventanamicro.com,RISC-V,US,2018,RISC-V CPU cores and compute subsystems,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
VerifAI,verifai.ai,EDA,US,2020,AI assisted hardware design and verification,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Verifaix,verifaix.com,EDA,US,2024,AI assisted hardware design and verification,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Visblsemi,visiblsemi.com,EDA,US,2024,AI assisted hardware design and verification,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Volantis Semiconductor,volantissemi.ai,AI,US,2022,AI processors,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
VoltAI,voltai.com,EDA,US,2022,AI models for semiconductor,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Xcelerium,xcelerium.com,HPC,US,2020,Domain specific processors for converged workloads,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Xconntech,xconn-tech.com,HPC,US,2020,CXL and PCIe switch chips,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Yorchip,yorchip.com,CHIPLETS,US,2023,Chiplet technology,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Zendar,zendar.io,SENSORS,US,2017,High resolution software defined radar,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
ZeroASIC,zeroasic.com,CHIPLETS,US,2008,Chiplet based ASIC platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
ZeroPoint,zeropoint-tech.com,MEMORY,US,2015,Memory compression technology,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
